epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2453.46,0.45285,0.23812,0.87728,0.96783,0.9561,0.96821,0.71787,1.1051,0.39039,1.50393,0.000455828,0.000151943,0.000455828,0.000151943,0.000455828,0.000151943,0.000455828,0.000151943
41,2531.64,0.48062,0.23818,0.89349,0.97568,0.96981,0.97961,0.71628,1.09743,0.37831,1.49645,0.000416208,0.000138736,0.000416208,0.000138736,0.000416208,0.000138736,0.000416208,0.000138736
42,2592.02,0.42474,0.20949,0.86616,0.97697,0.96938,0.97666,0.71784,1.10584,0.38462,1.4969,0.000376588,0.000125529,0.000376588,0.000125529,0.000376588,0.000125529,0.000376588,0.000125529
43,2653.11,0.41381,0.20854,0.86401,0.97424,0.96715,0.97981,0.71953,1.09702,0.37156,1.49761,0.000336968,0.000112323,0.000336968,0.000112323,0.000336968,0.000112323,0.000336968,0.000112323
44,2711.82,0.40211,0.2027,0.85642,0.97494,0.96305,0.97539,0.72105,1.0972,0.37908,1.51373,0.000297349,9.91162e-05,0.000297349,9.91162e-05,0.000297349,9.91162e-05,0.000297349,9.91162e-05
45,2771.69,0.39491,0.20374,0.85257,0.97514,0.96373,0.97666,0.71658,1.10754,0.3895,1.52534,0.000257729,8.59096e-05,0.000257729,8.59096e-05,0.000257729,8.59096e-05,0.000257729,8.59096e-05
46,2829.8,0.38593,0.196,0.85189,0.97542,0.96573,0.97728,0.71773,1.09485,0.38321,1.52115,0.000218109,7.2703e-05,0.000218109,7.2703e-05,0.000218109,7.2703e-05,0.000218109,7.2703e-05
47,2890.54,0.38242,0.19237,0.85114,0.9722,0.97188,0.97742,0.72005,1.09936,0.38382,1.52692,0.000178489,5.94964e-05,0.000178489,5.94964e-05,0.000178489,5.94964e-05,0.000178489,5.94964e-05
48,2951.58,0.37114,0.1903,0.84747,0.97142,0.96821,0.97353,0.72392,1.09344,0.38046,1.5267,0.000138869,4.62898e-05,0.000138869,4.62898e-05,0.000138869,4.62898e-05,0.000138869,4.62898e-05
49,3013.08,0.36707,0.186,0.84481,0.978,0.97022,0.97957,0.71743,1.1021,0.38142,1.53489,9.92496e-05,3.30832e-05,9.92496e-05,3.30832e-05,9.92496e-05,3.30832e-05,9.92496e-05,3.30832e-05
50,3074.87,0.36349,0.18336,0.84016,0.97336,0.97213,0.97677,0.72173,1.09366,0.37834,1.53126,5.96298e-05,1.98766e-05,5.96298e-05,1.98766e-05,5.96298e-05,1.98766e-05,5.96298e-05,1.98766e-05
